match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8807788948,7402364586,True,1778566308,1647,7,22,65,6,118,"[7, 8, 42, 3, 74]","[138, 110, 106, 30, 2]"
8807788941,7402361761,False,1778566313,1333,0,23,31,2,181,"[22, 106, 11, 114, 76]","[123, 26, 32, 94, 40]"
8807788933,7402365052,True,1778566293,1759,0,23,24,4,227,"[67, 17, 95, 14, 101]","[111, 114, 8, 21, 53]"
8807788924,7402361574,True,1778566293,1316,0,23,51,6,223,"[30, 75, 137, 8, 113]","[36, 2, 35, 20, 48]"
8807788911,7402361204,False,1778566308,1262,0,23,35,4,271,"[14, 75, 42, 58, 44]","[123, 86, 22, 100, 135]"
8807788908,7402361327,True,1778566303,1285,0,23,45,5,181,"[112, 81, 50, 84, 99]","[35, 119, 47, 22, 83]"
8807788907,7402360462,False,1778566303,1155,0,23,33,6,152,"[97, 30, 56, 12, 131]","[136, 51, 29, 26, 37]"
8807788899,7402363471,False,1778566308,1520,0,23,44,4,152,"[14, 74, 86, 20, 8]","[22, 75, 29, 107, 95]"
8807788885,7402365666,True,1778566298,1746,7,22,61,1,251,"[135, 100, 145, 20, 44]","[120, 105, 64, 67, 21]"
8807788879,7402365788,True,1778566303,1817,7,22,24,5,232,"[56, 114, 28, 31, 30]","[102, 11, 59, 5, 67]"
8807788876,7402363246,False,1778566288,1472,7,22,45,8,227,"[29, 22, 88, 39, 12]","[73, 104, 26, 93, 43]"
8807788866,7402361633,True,1778566303,1334,0,23,32,2,117,"[84, 74, 56, 85, 40]","[20, 64, 14, 21, 67]"
8807788864,7402362619,True,1778566298,1418,0,23,34,2,121,"[75, 91, 47, 18, 113]","[84, 110, 40, 8, 21]"
8807788863,7402361499,True,1778566298,1317,0,23,55,4,118,"[74, 137, 105, 20, 6]","[112, 11, 35, 28, 86]"
8807788862,7402361055,False,1778566288,1248,0,23,71,2,183,"[86, 84, 8, 35, 123]","[22, 61, 25, 87, 15]"
8807788854,7402366019,True,1778566303,1843,7,22,35,4,182,"[25, 111, 12, 35, 84]","[95, 7, 26, 14, 49]"
8807788852,7402364097,False,1778566303,1662,0,23,13,1,185,"[104, 135, 53, 92, 131]","[34, 25, 30, 15, 2]"
8807788840,7402362801,True,1778566303,1472,0,23,42,1,153,"[31, 123, 6, 97, 20]","[25, 4, 22, 80, 64]"
8807788826,7402364753,True,1778566288,1649,0,22,65,5,153,"[34, 80, 101, 21, 38]","[74, 71, 6, 36, 75]"
